"business_id","name","stars","state","city","address","postal_code","categories","is_open","latitude","longitude","by_appointment_only","accepts_credit_cards","monday_hours","tuesday_hours","wednesday_hours","thursday_hours","friday_hours","saturday_hours"
"rkqsFfbdeuXevR4Z3VgFuA","McDonald's","1.5","PA","Abington","1663 Old York Rd","19001","Restaurants, Coffee & Tea, Burgers, Fast Food, Food","1","40.1311963953","-75.1157820466",NULL,"True","6:0-23:0","6:0-23:0","6:0-23:0","6:0-23:0","6:0-23:0","6:0-23:0"
"3gwwGdwihsmb4TOnUOo6RA","McDonald's","2.0","IL","Alton","2400 Homer Adams Pkwy","62002","Food, Burgers, Restaurants, Coffee & Tea, Fast Food","1","38.9161826592","-90.1515620854",NULL,"True","5:30-23:0","5:30-23:0","5:30-23:0","5:30-23:0","5:30-0:0","5:30-0:0"
"vsM7RsJNrP6ukSgy1Ew5xA","McDonald's","1.5","IL","Alton","717 E Broadway","62002","Coffee & Tea, Burgers, Food, Fast Food, Restaurants","0","38.8892222","-90.1743183",NULL,"True","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0"
"b8kG6D1QEzwlovfm2tRS5w","McDonald's","1.5","PA","Ambler","119 W Butler Ave, Ste 21","19002","Burgers, Restaurants, Fast Food","0","40.1531681","-75.225871",NULL,"True",NULL,NULL,NULL,NULL,NULL,NULL
"n2LA9JJRhrC5DzpkFhhy-w","McDonald's","2.0","TN","Antioch","5301 Hickory Hollow Ln","37013","Restaurants, Burgers, Food, Coffee & Tea, Hot Dogs, Fast Food","1","36.0486694695","-86.6520778742",NULL,"True","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0"
"S2f17_R3I2CXculeMDZAig","McDonald's","1.5","PA","Ardmore","111 Lancaster Pike","19003","Fast Food, Restaurants, Burgers, Coffee & Tea, Food","1","40.009306","-75.2931527",NULL,"True","6:0-23:0","6:0-23:0","6:0-23:0","6:0-4:0","0:0-0:0","0:0-0:0"
"zMqRuy0UApfa2NT-wVdURw","McDonald's","2.0","MO","Arnold","3996 Jeffco Blvd","63010","Restaurants, Burgers, Fast Food","0","38.4057648","-90.3768032",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"SuzwgDT71HxOccHXsBpJag","McDonald's","1.5","MO","Arnold","2005 Richardson Rd","63010","Fast Food, Coffee & Tea, Restaurants, Burgers, Food","1","38.4184245705","-90.3907495737",NULL,"True","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0"
"wkIwr6GfkhoodGV-thcICg","McDonald's","1.5","MO","Arnold","130 Arnold Cross Rd","63010","Fast Food, Burgers, Coffee & Tea, Food, Restaurants","1","38.4449788","-90.375794",NULL,"True","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0"
"ZdJgP7puNRex0Hy4PWIcAQ","McDonald's","2.0","TN","Ashland City","255 S Main St","37015","Restaurants, Fast Food, Burgers, Coffee & Tea, Food","1","36.2731194","-87.0623285",NULL,"True","5:0-23:0","5:0-23:0","5:0-23:0","5:0-23:0","5:0-0:0","5:0-0:0"
"W0QKIbOBpPDD56umLllxsg","McDonald's","2.0","PA","Audubon","635 S Trooper Rd","19403","Restaurants, Burgers, Coffee & Tea, Food, Fast Food","1","40.128030722","-75.4051747211",NULL,"True","5:30-23:0","5:30-23:0","5:30-23:0","5:30-23:0","5:30-0:0","5:30-0:0"
