city,name,monday,tuesday,wednesday,thursday,friday,saturday,sunday,stars,state,address,is_open,latitude,longitude,wifi,drivethru,restaurantsdelivery,businessacceptscreditcards,restaurantsgoodforgroups,business_id,postal_code,review_count
Ashland City,Sonic Drive-In,0:0-0:0,6:0-22:0,6:0-22:0,6:0-22:0,9:0-0:0,9:0-22:0,8:0-22:0,2,TN,615 S Main St,1,36.269593,-87.058943,u'no',True,True,True,True,CF33F8-E6oudUQ46HnavjQ,37015,6
Nashville,Sonic Drive-In,0:0-0:0,6:0-21:0,6:0-21:0,6:0-16:0,6:0-16:0,6:0-17:0,6:0-21:0,1.5,TN,2312 Dickerson Pike,1,36.2081024,-86.7681696,u'no',True,True,True,False,bBDDEgkFA1Otx9Lfe7BZUQ,37207,10
Reno,Silver and Blue Outfitters,0:0-0:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,11:0-18:0,4.5,NV,5191 Meadowood Mall Cir,1,39.476518,-119.7840369,u'no',NA,NA,True,NA,knQ4vIgx-r85kjlWVVjcpQ,89502,5
Brentwood,Subway,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-20:0,9:0-22:0,10:0-22:0,2.5,TN,"330 Franklin Rd, Ste 900-d",1,36.0263631408,-86.7894728157,NA,False,True,True,True,VZzivJEbmHItOxNXJB3SpA,37027,14
Largo,Chipotle Mexican Grill,0:0-0:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,3,FL,10160 Ulmerton Rd,1,27.894167,-82.779866,'free',True,True,True,False,aNtKyc2rr-uK5cqzY9TVQQ,33771,19
Nashville,Wendy's,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-1:0,10:0-1:0,10:0-0:0,1.5,TN,741 Thompson Ln,1,36.112075744,-86.7674462724,NA,NA,True,True,True,G4lRmwDHdvhZAhmtlsYYBw,37204,37
Tampa,PDQ Temple Terrace,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,3,FL,5112 E Fowler Ave,1,28.0548882706,-82.3995484,NA,NA,True,True,NA,QjV4v7q_pt7tt3K1US7IHg,33617,5
St. Louis,McDonald's,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,1.5,MO,1919 S Jefferson,1,38.6124951839,-90.2219420671,'free',True,True,True,True,yM8LlTInbQH4FwWC97lz6w,63104,100
Lutz,Aussie Grill,0:0-0:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-21:0,4,FL,25340 Sierra Center Blvd,1,28.192191035,-82.396367,NA,NA,True,True,NA,CtMEJxpVMlNzFpB4PtFjfA,33559,75
Philadelphia,Wendy's,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,1.5,PA,700 E. Hunting Park,1,40.012141,-75.1150148,NA,NA,True,True,True,O1oZpbZNDMH_gz8DhsZCdA,19124,15
Brandon,Brandon Burgers,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,3.5,FL,1513 W Brandon Blvd,1,27.9373704213,-82.3077001423,NA,NA,True,True,NA,SRexiuEsx1d9-dZVUsssQA,33511,24
Lansdale,McDonald's,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-0:0,6:0-0:0,6:0-23:0,1.5,PA,2333 Welsh Rd,1,40.2637063378,-75.3179157563,u'free',True,True,NA,NA,aNXw3PkXVt8ANwLyCfcmpg,19446,17
New Orleans,Blaze Pizza,0:0-0:0,11:0-22:0,12:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,4,LA,611 O'keefe Ave,1,29.948395,-90.075281,u'free',False,True,True,True,bSJczuohHVko33UT82hnfA,70113,302
Philadelphia,Crown Fried Chicken,NA,NA,NA,NA,NA,NA,NA,2.5,PA,1128 S Broad St,1,39.9368911,-75.1672837,u'no',NA,True,True,False,GVqXNt0HKJLpciN9ePxnWw,19146,16
Pennsville,McDonald's,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,2,NJ,417 N Broadway,1,39.6773020944,-75.4953995347,'free',True,True,True,True,gb7JjRJtzWDsIWpJihZhBQ,08070,20
Hazelwood,Johnny Rockets,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,12:0-21:0,12:0-21:0,12:0-18:0,2,MO,5555 St. Louis Mills Blvd,0,38.7860901654,-90.4157752544,NA,NA,NA,NA,NA,Dl1alpHSJE4_iB0MGKRLXw,63042,6
Langhorne,Pizza Hut,10:30-23:0,10:30-23:0,10:30-23:0,10:30-23:0,10:30-0:0,10:30-0:0,10:30-23:0,1.5,PA,"16 Summit Sq, Store 2B, Route 413 & Doublewoods Road",0,40.21786,-74.9266344309,'no',NA,True,True,False,RsTF2skxLcp6qo9FdnA5PA,19047,18
