,business_id,user_id,review_id,stars,date,text,useful,funny,cool,sentiment,weather_prob,service_prob,food_prob,price_prob
48847,BzvTRpQ51IZ6N1_o7EjFlA,pJJwxIhRLyG09CsuMMemPg,aT9gDUsuW7ie1qQnhi224A,1,2019-04-25T21:39:02Z,New restaurant. The crew are stretched at lunchtime. Big crowd today. 25 mins to get my food from when I walked in the door. Food was ok. Burgers precooked and are not fresh flame broiled. Looked kinda grey. Food just ok and nothing special.,1,0,0,NEGATIVE,0.6442918181419373,0.9818048477172852,0.9964232444763184,0.4803200364112854
57493,9eYm5gwEOhBQdkg9ihV7EA,WBm0wn2-wthGFppN04fNXg,WBlAeg9WxMFEtOWZ12AJNg,1,2021-02-27T01:43:34Z,"Waited in line in drive thru for 15 minutes only to be told that they are not accepting credit cards in drive thru, only cash. If I wanted to use a card I would need to come inside.  I was then stuck in the drive thru until all the cars in front of me got their order.  When I got to the second window I asked if I could order there but was still refused and told to come inside.  I then asked as a courtesy for being in line for 20 minutes and having a disability making me incapable of going inside if she could take my order since the credit card swiper that does work is literally in arms reach.  She again told me no and said I had to come inside.  I again told her that I couldnt and please asked again if she would just ring me up the drinks as a courtesy of being there 20 minutes and incapable of going inside.  She again said no. I asked if I could talk to a manager and she replied that she was and pointed to her manager name tag and her name Katherine. Katherine then said if I had a problem with that I could call the corpora office because she again refused to serve me. Shame on you Katherine for your attitude and inhospitable behaivor and refusing to serve someone that is handicapped when all you had to do was turn around take two steps and swipe my card.",0,0,0,NEGATIVE,0.16868317127227783,0.8904328942298889,0.9039616584777832,0.7488589882850647
57851,RL6BaK196Scg2DEY3Uc1AQ,fVfxtza1IkOmwG47xCIfTg,FPLQllR5m2N1Kt6TFMEtAw,1,2018-07-08T00:32:21Z,"If I could give no stars, I would. Consistently poor service with orders mixed up, menu items not available, and employees not trained in the McDonalds U. I believe that the employees want to be helpful; but, the management of this site has seemed lacking. I tried to use the mobile app to speed up the process; but, alas, to no avail as the employees admitted that they weren't trained to use it. Maybe I'll watch  Super Size Me  so as to remember that eating food from there is not a healthy choice.",0,0,0,NEGATIVE,0.17652207612991333,0.994610607624054,0.9379607439041138,0.07204310595989227
46978,h696v2N0hcOOdsg1ebt5Ig,dhziHMWLCAE7Mc9voneZYQ,3ZpJTCrd1ndwptrh4dcI6Q,1,2016-07-23T19:21:40Z,"This is a horrible McDonalds and needs to close and be placed by a Chick-Fil-a who knows how to treat customers.  (at least the ones that I've frequented)  I haven't been there in two years because of my last bad experience.  I was craving an sweet tea and decided to tie it one more try.  They failed again.  Destiny showed on her face that she wasn't happy to be there, but I ignored it and remained pleasant.  I was waiting for her to hand me the cup when I saw her dip it into ice.  I said to her that I wasn't aware that it was no longer self-service and that I didn't want ice.  I like to take it home and chill it in the frig.  Ice dilutes it.  She nastily threw the ice back in the bin and started to walk away, not toward me.  I put my money back in my purse and told her I wasn't paying for this type of service and left.    I called the manager, Ayanna, the next day who seemed just as young as Destiny.  But age does not matter, professionalism does.  She was of no help.  I asked for Destiny's last name and she said that she didn't know it.  A more honest answer would've been that we don't give out last names.  That's what the corporate customer service told me when I called.  She literally sounded like a robot.  She was of no help either.    I go there mostly for beverages, but have eaten their awful fries on a rare occasion.  They always leave a bad taste in my mouth.  Maybe they don't change the grease on a regular basis.  There needs to be some customer service re-training from the cashier to the manager.  If you're  not going to do it owner, then close down and give someone else the space.",1,1,0,NEGATIVE,0.06695478409528732,0.684694766998291,0.9277746081352234,0.2959868013858795
16793,HxkdaR5jecQoALzv-SjKAg,EOrSV3XJQ6yRNjZZ_up4pA,hTdIfyAQ91ZcigGtorGBPQ,1,2021-03-12T01:33:17Z,I don't eat fast crap much anymore I ordered a double baconater TERRIBLE looked nothing like the picture on Yelp 1 /2 the bacon 1 /2 the size this is why I don't eat fast crap almost 7.00 dollars,1,0,1,NEGATIVE,0.24072201550006866,0.35633671283721924,0.9544949531555176,0.7479040622711182
61518,IZuborFfCX6E6CVDWorHnw,QGekOz9leD135E7h4ql6ug,0_rlVvDlvz6Iw2OpyqH5Ow,2,2019-10-21T21:41:33Z,"Just ordered a Soffrito salad with brown rice. Simple, right? The rice was so chewy you couldn't enjoy the rest of it. Seriously? Undercooked rice? Always a disappointment....",0,0,0,NEGATIVE,0.022676484659314156,0.764668345451355,0.9909622669219971,0.11457376927137375
45787,VgGmMEc68H1ZB_mtk83Cgg,eEW50s64FBaNwdsWiREdKw,2cSde2l55OIJvgGA6EN1pQ,1,2017-09-24T16:19:18Z,"I absolutely LOVE Jimmy John's, but this is the WORST ran location in the franchise. I'll list my MULTIPLE reasons why below: 1. The bag says they stay open 10 minutes after 9pm... so when arriving at 8:50pm to pick-up an already placed order, not a single employee came to open the door or even acknowledge our existence. Thankfully a customer came and opened it to let us in. 2. When the order was PRE-PAID, and we came to pick it up, they said they already gave our order away to another customer. 3. After this, we had to give them the order again... and they made us get in the back of the line to start making everything, rather than fixing the issue and starting to make the new subs now. 4. When we called to ask what's going on - the manager said  We are really busy right now  and placed us on hold for FIFTEEN minutes, before we just hung up.  As you can see - I would avoid this store and choose other options available. I still love Jimmy John's, but will never use this location again & highly recommend everyone to stop giving them business",0,0,0,NEGATIVE,0.019112607464194298,0.781761646270752,0.7993687391281128,0.09620700031518936
58865,a69pvnfQKMrQ4WXIMdMLCg,lTdAOhx0awl3B1rHM5Svug,2TzRW3KArHL52vAbXOk_7Q,2,2015-07-24T19:43:32Z,I was surprised my sandwich didnt taste  like it normally does (JJ on longely usually lunch spot). I was in Sparks today so I thought Id try it out. It was pretty busy but fast as usual. I ordered a number 6 with sprouts but when I opened my sandwhich It was also falling apart so I had to refit it. Probably wont be back to this spot.,0,0,0,NEGATIVE,0.16019266843795776,0.5797283053398132,0.9940717816352844,0.18847110867500305
12176,bQDwX5wKDfwS-iqCGTzKKQ,gyzPa1B1E4ZRsxuFeoZ5pw,E0B6QIADW6VFyDfT5sHwfA,1,2021-11-11T00:58:08Z,"This Popeyes makes their employees pay for dipping sauces I swear. Almost every time I order 5 tenders, if you look at their  we're cheap  chart on the window it says 3 tenders = 1 sauce, 5 tenders = 2 sauce. Whatever I'll take bbq sauce thanks keep it moving, but nah I know I gotta check before I leave otherwise dry tenders it is. I check the bag nothing, I say hey can I get bbq sauce they say  I put in bag  I say nah not here while showing the bag open, he gets loud  I put in bag  I open the tender box say it's still not here pal. And he just repeats again I put in bag, I drove off because it's happened many times. Get home not in bag. Dry spicy tenders for me.   Please just give me my BBQ sauce one of these times, it's been like 10 times no joke, oh and teach your employees customer service.",0,0,0,NEGATIVE,0.3163549602031708,0.8337445855140686,0.9201394319534302,0.7617177367210388
27996,llscutPmO-mUdNce1CJmDw,aun-y4gQBAUa0Sy7P6_7tQ,Gqpx_PJuQ2xSmzRcbs_arw,1,2018-12-23T07:20:54Z,Been here twice both times order is wrong. Last time I said plain hamburger NO cheese I got a bacon cheeseburger...I'm allergic to it awesome.  Of course it's drive through so I'd left already.  No ones going to read this because who does check yelp prior to going to a fast food place???,0,0,0,NEGATIVE,0.053384359925985336,0.48800963163375854,0.9791841506958008,0.0083108926191926
50232,G2HoBp20Uj0-yaExS7J44g,De3jzlwBHlN5UHfcZiVC0w,UBLY95um2sLhhiaLzas4SQ,1,2021-10-19T16:48:39Z,The service is starting to go downhill what the Hells going on?! They need competition that'll keep them on their toes.,0,0,0,NEGATIVE,0.006835469044744968,0.9976154565811157,0.002900074003264308,0.21387207508087158
55224,UtABCTNWNw19ilPS5USErw,zFYPIPz4tc7rpS0Llb5bWg,t2L5gmNeUWVWhVc_GbhUKw,1,2019-04-27T00:04:28Z,"Not a big surprise, they screwed up my order. Super long wait in drive thru and the inside closes at 9:00pm. Glad I never have to go back again.",0,0,0,NEGATIVE,0.062443625181913376,0.8408157229423523,0.9172378182411194,0.18127259612083435
56456,CTwUbgtt5qcnmFPYcbEkZw,eYhrrgQMG0awnlvXQujsHw,oaD6JX7H74qxQ3MAo3-zGQ,1,2020-04-25T11:41:06Z,These people don't answer the phone you can't email them for take out. What is going on the manager of the store doesn't have a clue what they're doing.,1,0,0,NEGATIVE,0.001113365637138486,0.9637921452522278,0.8436110615730286,0.11649277806282043
36946,entUQVUKfv521CiqEWYWlA,_Ksw_vYiqToW5m6t4rAcCg,YefOnfGlgT2J-Qm7xSzGag,4,2017-05-27T05:34:43Z,"I love Popeye's Chicken.  Their slaw is to die for.  So, why four stars?  Take a look at my photo.  Every danged time I pay $4 for a large tub of slaw, it's filled maybe half way.",2,2,1,NEGATIVE,0.00145607755985111,0.020894045010209084,0.9072425365447998,0.4120332598686218
44703,-YljbQMbbTC9jwn8kOLitA,5ZxzbdFUg_WVgC2PmsKwxw,wXeyGHg8aD5Xe6bFANWw8Q,1,2020-08-20T07:20:14Z,"Don't.  Just don't.   Like many people, I love McDonald's fries and the occasional cheeseburger.  I  recently (mistakenly) opted for this McDonald's to satisfy these cravings.    After 2 times ordering the same meal (#9) with the same stomach ache and general queasiness starting about 4 hours after each, I've learned my lesson. I thought the first time was a 'one-off' and probably not related to my stomach pain.  I was wrong.  There are better McDonald's restaurants in the vicinity whose food won't have you up at 2 a.m. writing a Yelp review to warn others of the potential for suffering after consuming their food.",2,0,0,NEGATIVE,0.13851363956928253,0.58061683177948,0.9956348538398743,0.20997771620750427
