business_id,photo_id,caption,label
f0Vqfu1dKzWE0QRnJHO3-A,iyUqboJlTfPacE2ks5bQkA,Kung Pao Chicken and Grilled Teriyaki Chicken Plate,food
un1uBFgmY42fP8vmGo8zMw,-rrbxaE11jR2yVs-l4_1Hg,,food
G0QmHV7w2Sil4Xj7LJFsLA,LFy4nNmCd8YdhHNJext6-Q,,food
LACylKxImNI29DKUQpWuHw,dQlBDoOEiNbyXAS9mUGsIg,Cheesy tots,food
rEYz-v3g41OT8kPg-m3Rcw,5RcpAHX9t3G-GhPcxNetqQ,,food
Ac0W0fBY0WRQ8LqdCRXUAQ,g5HOhKvxgfJYHlwfc2_fsQ,,food
wA5wJHteesfV3Z6TuATBtg,c0KtDehhGCPZHMMnctbQpw,,food
mp24FaM8jpJxaowkiID-iw,_7D_9_YLUjx3pBKg9wjTww,Junkyard Fries,food
5tZJaEsvEDowvbAtL8Jfig,0_wwYfi54OKFiDwNpqm5vA,,drink
RXL3PtKjo8GYuEsL9uQ9fw,L5lwhaiANQtmeZJEXJDqxw,,food
h4CPgWdrG9ejSgaAOOCEaw,-s4J07Y3dqlRBK_q2bo7nw,,inside
C_2agQxDB4GMNB-iG6Reeg,SaOjIA1oFVvc3yzfi7qp9A,,food
5GZOor47iDvcz3r587ja5Q,tB5srffjDVKO31ffzqNVWA,,food
MNI5KDlT5ErW7uuG4xgNew,U2uAYOjAdaAmaBtOFDfpqQ,,food
oQhZez4nAwXH0kutnpULfg,eorK4tjgTZw79l6fP-C7NQ,,food
_lRDriotIGmQBSwjOEcsNg,u8D_1QPVrsKf-86uK5SKEQ,,food
agUtiM_kywc6_rnCpBYqBw,pQ6cQFKlBQtxGqcRynuVuA,,food
_v5nee_TGC_OQm0EPimqSw,1TKu4lCgzP5TEOJmYirESg,,food
R4X8-mDwY4UqHvYMpoNcnw,KK2BemvJF4JwHgfcJdv4Pg,,food
La_MSvvYGXg8iEhYJ8t27w,oxDVAbk77xcJ47b4vWh0Zg,,food
s7UTIHPXn_RhHEg4pPd9Pw,87njIRuJULZQWIv7HMnGqg,,food
NLl8h7OgAmqdSJJbzmN7kg,mkxH2PrBAeLG4d6O7MyWsA,,food
q61niB21oQPmZlO3wsSO7Q,K30Pe4eZqH9UF_IO2lanFA,,food
sLjrUVcJt6Ngy9C2v7w_kg,GEnBIBoK2dy_3MOlHOO8eA,,food
TtjwEIxnNOygLkTiGXCepQ,cNb4tZAjoywFp58GWsGmVg,,food
VVarKkODJTs_qx_gz4Hxbg,zbQQFDvwrDHP8n1gzSXNDA,,food
QzOagE4RbvOIjnajVS-spA,v_78EMlpaoE9f3aiNftFeA,Chicken Egg Rolls,food
kiHqK6rB1In1O6NirsG2_g,LCv2_tm66o7yHZtCyOg5Mw,,food
grBPIq_eJCT_SGuhvMrUZQ,DU4q22CFMMOgsK5BbTPuHw,,food
AT6UYfUBqYQJ-fuGdu-zMg,eMkHBkQ2QxsNa0P8JR9a7g,,food
NrrLgt5Ptw8ziOmFVMsIyg,wRGNEZKsudRCnlIoT4R6wQ,,food
YfDmHVA_EMgX0US0kunZ-A,cCLZmPcrXcS40OwmCTHcaA,,food
DlOZoZZRLEOuh9FdAw1few,qxOskWtaC5uIvjfZOcs2sg,,food
5xW1QiUC2PEwa8jDha0scQ,91-BUJSO9IgBhhNEfjhtxA,Restaurant,inside
CpaCtUbaj4rXglg8604r4Q,A5lAzuC0YRd8qWPdIEazew,"Salads are made with crisp romaine and optional flame-grilled fajita vegetables, freshly-made pico de gallo and chile corn salsa",food
h0FfVGE8C-U8SDxQPgUjmw,bzBF6X3kbjsXDBrtX7SwIw,,food
0exAfLiQVzBZGlJjtzAw4Q,Xhbs11Kmny1SXrUwhIJR3g,,inside
t1QrCzXpmtHpPzTggqKUaQ,OBh_pv4gQU19s2fB3WmI1g,,food
gltppHhVxJN9ETmQM6BFxg,2_HSZBMcokSGZ0zldDyYqw,,food
H2HZ5Rz01L2xLzjJR8sQ-g,yNYJ6aj3ojVClZpzZzrPTg,,food
8rAzexb3VAcAbYPbnwrueQ,we7j1LMkM03tULqMD_ZsWQ,,food
14YnOi8LM6hHFt3wPqeTuw,jUVEFMwqBMvc4nRIGR_LPQ,,food
YQmSQs0WDwMDLmU3Yfj0jw,_qXuMCzPZ5YgFOW0qoD6Qw,,outside
XfFvlwTDn3Lo6CSJcTsCbg,i6L7D7gSECLDXSG2TRpgPQ,,food
KWaqFiJmkePvTerZpC93GA,Br20ytPCfxoQUm9a7wqsAg,,drink
cKyGyASj31qj9SEnOX1u7w,fdGyssy3YnEj6iJth8mt8w,,food
1O0teX-jRsmxqDYmRNncSg,Kk6qYNkTUdUHv2j_pnHiVQ,,food
OvJgitvCHMgmLuoW97kzfw,R2yaBM6Ds-oHlIqYftOr9w,,food
v0108O4P6Io3NMStAc-Uhg,Y_5hAqAErtdbwr2zuc3z6Q,,food
SfQVDenCq9MneTIul9gZhA,Du5YBTGDz_QCzsGHyp_Qkg,,food
xW6H_RC8SVSHDSWTEHM0hQ,cbIm0CyxC6LQ9zFLhRWEgA,,food
wAVa4NJk2Qg5vgWSlpa-QA,LBpkIZvsvG5mAKOMBbh_Ag,,food
Xdzir62WKlSzeu4PMQtlBA,_ooOucnyw63X9oxT4Uzgjw,,food
fe-29ty1XfKu3vZse-4IZA,qV2gZEMLRv0eL8H-j3pnmA,This is the Dave's Single cheeseburger,food
hOIKRzi-BQK4HRo2pl9bFg,yNP3xuuAZXjBE0o6HKLCHw,,food
BDRIMu8pQ_XCcTIq5Q69Lg,UImvPf17OwxZYkOy0IQUmA,D I R T Y lemons and tables,food
jn7D3DqIe8F4gHNGtZ9UEQ,X1ctGScDP3exWSD02C15vA,interior 2,inside
tpRq4aqOh_PqqTL-NoeC4w,FH_UNsF4HtEhYcEi_Wj2tg,,food
SIG3ZWW_irFofJ6YDM_Aiw,h-FOermCtynRZ0a3Un4mhQ,,food
QbLvrNsUmD_62d9pIxwlSA,BCRHH7s3hasJ9ECbdbHKXQ,,food
8lKmq3q0sxraES0p0uZINw,D13LrSQml7vSAyXqqfgATw,"3x3, Double Double,  & 2 reg chz burgers.",food
FlWnK-_mlba2HNY_dQuSyA,X8v4LXNql_ZZtRHsjffW4g,Garlic Steak Burger,food
hEWLqdYARUZE3Jn4ma5zvQ,1jKc6qpj_9aUK90hKbTy0g,,food
